sentence_id,text_source,text,ppl_grok-3_model,nll_grok-3_model,ppl_gpt-5_model,nll_gpt-5_model,ppl_gpt-5-mini_model,nll_gpt-5-mini_model,ppl_human_model,nll_human_model,ppl_pooled_ai_model,nll_pooled_ai_model,ppl_llama-3.3-70b-instruct_model,nll_llama-3.3-70b-instruct_model
73d6bc7a9613e548b074cf5d5228d1d4,human,"Strongly condemning the ongoing violence in Rwanda and particularly condemning the very numerous killings of civilians which have taken place in Rwanda and the impunity with which armed individuals have been able to operate and continue operating therein,",34.07940350968026,3.528693199157715,33.396997653394415,3.5084660053253174,33.3947841615567,3.508399724960327,33.19891595256418,3.5025172233581543,33.26378129489533,3.504469156265259,33.43443424187594,3.5095863342285156
5025664a2e78351860b1d58f8eebab07,human,"8. Encourages the Secretary-General to accelerate his efforts, in conjunction with the Secretary-General of the OAU, to obtain from Member States the necessary personnel to enable deployment of the expanded UNAMIR to proceed urgently;",39.83079702095976,3.684640407562256,38.5336059605248,3.6515307426452637,38.95030177359774,3.6622865200042725,38.958131059297706,3.662487506866455,35.05536380213875,3.5569286346435547,39.44194957270586,3.6748299598693848
b440020418838b652e51ed9936842234,human,"13. Decides that all States shall prevent the sale or supply to Rwanda by their nationals or from their territories or using their flag vessels or aircraft of arms and related matériel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary police equipment and spare parts;",41.90171542277715,3.7353267669677734,40.409955411602915,3.6990761756896973,40.85370094220421,3.7099974155426025,42.70657151315091,3.7543528079986572,41.048913039730365,3.714764356613159,41.802879760176616,3.7329652309417725
5d8e7c98add52fa01e03d47e7c490efc,human,"14. Decides also to establish, in accordance with rule 28 of the provisional rules of procedure of the Security Council, a Committee of the Security Council consisting of all the members of the Council, to undertake the following tasks and to report on its work to the Council with its observations and recommendations:",15.768359684482535,2.758005380630493,14.734363922107038,2.6901824474334717,15.12116905112916,2.7160956859588623,15.077814288753421,2.713224411010742,14.669563001977638,2.685774803161621,15.23335780346792,2.723487615585327
83fa315cdb4c69a8b9447b048d1a21ae,human,"15. Calls upon all States, including States not Members of the United Nations, and international organizations to act strictly in accordance with the provisions of the present resolution, notwithstanding the existence of any rights or obligations conferred or imposed by any international agreement or any contract entered into or any licence or permit granted prior to the date of the adoption of this resolution;",16.02504029510533,2.7741525173187256,15.3665488328995,2.7321929931640625,15.577769112472243,2.745844841003418,15.99313513993812,2.7721595764160156,15.074845250660443,2.7130274772644043,16.036078182023367,2.774841070175171
7576b1dc6ca9f03092ca964998c4b1e0,human,"In that resolution, the Assembly decided, inter alia, that the United Nations Programme on Space Applications should disseminate, through panel meetings and seminars, information on new and advanced technology and applications, with emphasis on their relevance and implications for developing countries.",21.863479627866965,3.08481764793396,21.65547898697734,3.075258493423462,21.852931749731376,3.0843350887298584,21.95856663565786,3.0891573429107666,18.67381202896874,2.927122116088867,21.675846538299712,3.0761985778808594
b6ad6e82032114a6d36499955b487d77,human,"The presentations to the Workshop covered the use of remote sensing, satellite meteorology, satellite positioning systems and satellite communications and how they could be used, separately or collectively, to prevent disasters or to forecast, monitor and mitigate the effects of severe weather phenomena, such as flooding, desertification and drought.",21.3382979242885,3.0605034828186035,20.770660560386663,3.033541440963745,20.580415389183273,3.0243399143218994,20.92298373865818,3.0408482551574707,18.457729693234946,2.915483236312866,20.878220641441878,3.0387065410614014
94635c5d11963a7ca2bfee7b7694af2a,human,"Opening addresses were made by Prof. C. J. Chetsanga, Director-General of the Scientific and Industrial Research and Development Centre of Zimbabwe, on behalf of the Government of Zimbabwe, C. Berquist, the representative of ESA, and the Expert on Space Applications, Office for Outer Space Affairs of the United Nations.",26.34627816069633,3.271327018737793,26.06513040030822,3.2605984210968018,26.157316038691803,3.2641289234161377,26.729645753182744,3.285773277282715,23.43770915519678,3.154346227645874,26.466678737045534,3.2758865356445312
d5f8a8d821893a1c2aa37ff1b785f777,human,The Workshop noted that many of the national and regional emergency response agencies and services were not aware of the full spectrum of applications of space technology. Of particular concern was the lack of awareness of the Earth observing systems that could provide essential data for the prevention of disasters or for the mitigation and relief of their effects.,26.637081515697325,3.282304286956787,26.199751640069188,3.265749931335449,26.676784367303135,3.2837936878204346,25.770099548536052,3.2492148876190186,23.658185468616985,3.1637091636657715,26.400618346618934,3.2733874320983887
0b180603593bceaffe671ce5b1c465d7,human,"During the last session of the Workshop, the participants defined four categories of disaster-related topics that needed to be addressed: data supply, information generation, decision-making and implementation/execution.",26.0404336083036,3.259650468826294,25.86206180341891,3.252777099609375,26.121786530356196,3.2627696990966797,25.887348575224138,3.2537543773651123,24.71453421843312,3.2073915004730225,26.113019091750736,3.2624340057373047
9622416ee42a38a745dbb9a7ff207e41,human,"A single hazardous event can destroy the social and economic infrastructure, including communications systems, that may have taken years to develop and upon whose vitality local and national economies depend.",51.28193729292219,3.9373385906219482,49.978407042945115,3.911591053009033,49.40486846080629,3.9000489711761475,51.24326702354325,3.936584234237671,47.37282146532486,3.858048677444458,51.11335388924621,3.9340457916259766
2770cc454b7152804c44d763786d405c,human,"Importantly, it directs the disaster management community beyond the issue of simply using state-of-the-art space technologies in disaster relief and early warning because it promotes a recognition that the national infrastructures that make possible these applications must be encouraged and supported.",37.77888487011924,3.6317503452301025,37.464212524764335,3.6233861446380615,37.221733130921464,3.6168928146362305,37.727057064435755,3.6303775310516357,36.10717448457895,3.586491584777832,37.47059063294694,3.62355637550354
4fa44cc76755cf42166be3136500796f,human,"The project is using satellite image data to map land use at the scale of 1:250,000 as a part of the Environmental Information Systems Development component of the Ghana Environmental Resources Management Project (GERMP).",50.68379583645426,3.9256062507629395,52.612855006513605,3.9629604816436768,52.85757651395185,3.9676010608673096,51.27609332708384,3.9372246265411377,47.393698412477605,3.8584892749786377,51.177701851380135,3.9353039264678955
332458484f646fef858c2e311b945143,human,The advanced very high resolution radiometer (AVHRR) instrument carried by satellites of the National Oceanographic and Atmospheric Administration (NOAA) of the United States of America is the only commercial data source available to satisfy the needs and requirements of a fully operational exercise of this magnitude.,24.84727998253006,3.2127482891082764,24.569507408742865,3.2015061378479004,24.831035616977076,3.212094306945801,23.911335755204856,3.1743526458740234,22.979347343971824,3.1345958709716797,24.940919773705012,3.2165098190307617
09ee9e4e184aad60b5c6b9febbe51692,human,"The growing awareness and consideration of these societal issues together with advances in spaceborne technology mean that effective, affordable and global mobile satellite communications and remote sensing capabilities that should significantly reduce the devastating effects of natural disasters should soon be implemented.",51.329055660722446,3.9382569789886475,52.959424902338505,3.9695260524749756,51.953512632638144,3.9503493309020996,51.480820264439735,3.941209316253662,46.85330637073299,3.8470215797424316,51.74152707333535,3.946260690689087
c6953f899b3caabff9ec4992c6c5c366,human,"National contingency plans can help to minimize the impact of sudden natural disasters, for example by the pre-positioning of emergency supplies and communications equipment, including satellite communications systems, at strategic locations such as government premises and hospitals in areas known to be at risk.",19.567742835267072,2.9738824367523193,19.41929864912351,2.9662673473358154,19.727182163262693,2.981997489929199,19.59126080590353,2.975083589553833,18.887541978011463,2.938502550125122,19.302896184515365,2.9602551460266113
